Species,Code,Depth,Time,Period,Days,fvfm
Laminaria hyperborea,LH_1,0.5m,1,T1,0,0.74
Laminaria ochroleuca,LO_2,0.5m,1,T1,0,0.79
Laminaria hyperborea,LH_3,0.5m,1,T1,0,0.78
Laminaria ochroleuca,LO_4,0.5m,1,T1,0,0.77
Laminaria hyperborea,LH_5,1.5m,1,T1,0,0.77
Laminaria ochroleuca,LO_6,1.5m,1,T1,0,0.76
Laminaria hyperborea,LH_7,1.5m,1,T1,0,0.75
Laminaria ochroleuca,LO_8,1.5m,1,T1,0,0.78
Laminaria hyperborea,LH_9,3m,1,T1,0,0.77
Laminaria ochroleuca,LO_10,3m,1,T1,0,0.78
Laminaria hyperborea,LH_11,3m,1,T1,0,0.74
Laminaria ochroleuca,LO_12,3m,1,T1,0,0.77
Laminaria hyperborea,LH_13,0.5m,1,T1,0,0.75
Laminaria ochroleuca,LO_14,0.5m,1,T1,0,0.75
Laminaria hyperborea,LH_15,0.5m,1,T1,0,0.74
Laminaria ochroleuca,LO_16,0.5m,1,T1,0,0.79
Laminaria hyperborea,LH_17,1.5m,1,T1,0,0.77
Laminaria ochroleuca,LO_18,1.5m,1,T1,0,0.79
Laminaria hyperborea,LH_19,1.5m,1,T1,0,0.75
Laminaria ochroleuca,LO_20,1.5m,1,T1,0,0.78
Laminaria hyperborea,LH_21,3m,1,T1,0,0.76
Laminaria ochroleuca,LO_22,3m,1,T1,0,0.77
Laminaria hyperborea,LH_23,3m,1,T1,0,0.73
Laminaria ochroleuca,LO_24,3m,1,T1,0,0.77
Laminaria hyperborea,LH_25,0.5m,1,T1,0,0.73
Laminaria ochroleuca,LO_26,0.5m,1,T1,0,0.79
Laminaria hyperborea,LH_27,0.5m,1,T1,0,0.73
Laminaria ochroleuca,LO_28,0.5m,1,T1,0,0.74
Laminaria hyperborea,LH_29,1.5m,1,T1,0,0.72
Laminaria ochroleuca,LO_30,1.5m,1,T1,0,0.78
Laminaria hyperborea,LH_31,1.5m,1,T1,0,0.76
Laminaria ochroleuca,LO_32,1.5m,1,T1,0,0.78
Laminaria hyperborea,LH_33,3m,1,T1,0,0.73
Laminaria ochroleuca,LO_34,3m,1,T1,0,0.77
Laminaria hyperborea,LH_35,3m,1,T1,0,0.77
Laminaria ochroleuca,LO_36,3m,1,T1,0,0.75
Laminaria hyperborea,LH_1,0.5m,2,T2,7,0.71
Laminaria ochroleuca,LO_2,0.5m,2,T2,7,0.7
Laminaria hyperborea,LH_3,0.5m,2,T2,7,0.68
Laminaria ochroleuca,LO_4,0.5m,2,T2,7,0.71
Laminaria hyperborea,LH_5,1.5m,2,T2,7,0.67
Laminaria ochroleuca,LO_6,1.5m,2,T2,7,0.65
Laminaria hyperborea,LH_7,1.5m,2,T2,7,0.67
Laminaria ochroleuca,LO_8,1.5m,2,T2,7,0.68
Laminaria hyperborea,LH_9,3m,2,T2,7,0.6
Laminaria ochroleuca,LO_10,3m,2,T2,7,0.73
Laminaria hyperborea,LH_11,3m,2,T2,7,0.53
Laminaria ochroleuca,LO_12,3m,2,T2,7,0.67
Laminaria hyperborea,LH_13,0.5m,2,T2,7,0.71
Laminaria ochroleuca,LO_14,0.5m,2,T2,7,0.75
Laminaria hyperborea,LH_15,0.5m,2,T2,7,0.73
Laminaria ochroleuca,LO_16,0.5m,2,T2,7,0.73
Laminaria hyperborea,LH_17,1.5m,2,T2,7,0.75
Laminaria ochroleuca,LO_18,1.5m,2,T2,7,0.69
Laminaria hyperborea,LH_19,1.5m,2,T2,7,0.77
Laminaria ochroleuca,LO_20,1.5m,2,T2,7,0.69
Laminaria hyperborea,LH_21,3m,2,T2,7,0.73
Laminaria ochroleuca,LO_22,3m,2,T2,7,0.67
Laminaria hyperborea,LH_23,3m,2,T2,7,0.77
Laminaria ochroleuca,LO_24,3m,2,T2,7,0.73
Laminaria hyperborea,LH_25,0.5m,2,T2,7,0.74
Laminaria ochroleuca,LO_26,0.5m,2,T2,7,0.69
Laminaria hyperborea,LH_27,0.5m,2,T2,7,0.74
Laminaria ochroleuca,LO_28,0.5m,2,T2,7,0.78
Laminaria hyperborea,LH_29,1.5m,2,T2,7,0.72
Laminaria ochroleuca,LO_30,1.5m,2,T2,7,0.7
Laminaria hyperborea,LH_31,1.5m,2,T2,7,0.74
Laminaria ochroleuca,LO_32,1.5m,2,T2,7,0.74
Laminaria hyperborea,LH_33,3m,2,T2,7,0.66
Laminaria ochroleuca,LO_34,3m,2,T2,7,0.76
Laminaria hyperborea,LH_35,3m,2,T2,7,0.73
Laminaria ochroleuca,LO_36,3m,2,T2,7,0.76
Laminaria hyperborea,LH_1,0.5m,3,T3,12,0.76
Laminaria ochroleuca,LO_2,0.5m,3,T3,12,0.77
Laminaria hyperborea,LH_3,0.5m,3,T3,12,0.77
Laminaria ochroleuca,LO_4,0.5m,3,T3,12,0.77
Laminaria hyperborea,LH_5,1.5m,3,T3,12,0.76
Laminaria ochroleuca,LO_6,1.5m,3,T3,12,0.7
Laminaria hyperborea,LH_7,1.5m,3,T3,12,0.75
Laminaria ochroleuca,LO_8,1.5m,3,T3,12,0.67
Laminaria hyperborea,LH_9,3m,3,T3,12,0.76
Laminaria ochroleuca,LO_10,3m,3,T3,12,0.69
Laminaria hyperborea,LH_11,3m,3,T3,12,0.67
Laminaria ochroleuca,LO_12,3m,3,T3,12,0.71
Laminaria hyperborea,LH_13,0.5m,3,T3,12,0.75
Laminaria ochroleuca,LO_14,0.5m,3,T3,12,0.73
Laminaria hyperborea,LH_15,0.5m,3,T3,12,0.77
Laminaria ochroleuca,LO_16,0.5m,3,T3,12,0.74
Laminaria hyperborea,LH_17,1.5m,3,T3,12,0.78
Laminaria ochroleuca,LO_18,1.5m,3,T3,12,0.73
Laminaria hyperborea,LH_19,1.5m,3,T3,12,0.79
Laminaria ochroleuca,LO_20,1.5m,3,T3,12,0.76
Laminaria hyperborea,LH_21,3m,3,T3,12,0.76
Laminaria ochroleuca,LO_22,3m,3,T3,12,0.71
Laminaria hyperborea,LH_23,3m,3,T3,12,0.76
Laminaria ochroleuca,LO_24,3m,3,T3,12,0.72
Laminaria hyperborea,LH_25,0.5m,3,T3,12,0.73
Laminaria ochroleuca,LO_26,0.5m,3,T3,12,0.7
Laminaria hyperborea,LH_27,0.5m,3,T3,12,0.71
Laminaria ochroleuca,LO_28,0.5m,3,T3,12,0.74
Laminaria hyperborea,LH_29,1.5m,3,T3,12,0.75
Laminaria ochroleuca,LO_30,1.5m,3,T3,12,0.6
Laminaria hyperborea,LH_31,1.5m,3,T3,12,0.75
Laminaria ochroleuca,LO_32,1.5m,3,T3,12,0.75
Laminaria hyperborea,LH_33,3m,3,T3,12,0.76
Laminaria ochroleuca,LO_34,3m,3,T3,12,0.75
Laminaria hyperborea,LH_35,3m,3,T3,12,0.71
Laminaria ochroleuca,LO_36,3m,3,T3,12,0.68
Laminaria hyperborea,LH_1,0.5m,4,T4,20,0.74
Laminaria ochroleuca,LO_2,0.5m,4,T4,20,0.76
Laminaria hyperborea,LH_3,0.5m,4,T4,20,0.75
Laminaria ochroleuca,LO_4,0.5m,4,T4,20,0.67
Laminaria hyperborea,LH_5,1.5m,4,T4,20,0.76
Laminaria ochroleuca,LO_6,1.5m,4,T4,20,0.77
Laminaria hyperborea,LH_7,1.5m,4,T4,20,0.71
Laminaria ochroleuca,LO_8,1.5m,4,T4,20,0.7
Laminaria hyperborea,LH_9,3m,4,T4,20,0.48
Laminaria ochroleuca,LO_10,3m,4,T4,20,0.74
Laminaria hyperborea,LH_11,3m,4,T4,20,0.41
Laminaria ochroleuca,LO_12,3m,4,T4,20,0.51
Laminaria hyperborea,LH_13,0.5m,4,T4,20,0.75
Laminaria ochroleuca,LO_14,0.5m,4,T4,20,0.72
Laminaria hyperborea,LH_15,0.5m,4,T4,20,0.74
Laminaria ochroleuca,LO_16,0.5m,4,T4,20,0.7
Laminaria hyperborea,LH_17,1.5m,4,T4,20,0.74
Laminaria ochroleuca,LO_18,1.5m,4,T4,20,0.68
Laminaria hyperborea,LH_19,1.5m,4,T4,20,0.75
Laminaria ochroleuca,LO_20,1.5m,4,T4,20,0.72
Laminaria hyperborea,LH_21,3m,4,T4,20,0.7
Laminaria ochroleuca,LO_22,3m,4,T4,20,0.62
Laminaria hyperborea,LH_23,3m,4,T4,20,0.64
Laminaria ochroleuca,LO_24,3m,4,T4,20,0.37
Laminaria hyperborea,LH_25,0.5m,4,T4,20,0.75
Laminaria ochroleuca,LO_26,0.5m,4,T4,20,0.71
Laminaria hyperborea,LH_27,0.5m,4,T4,20,0.77
Laminaria ochroleuca,LO_28,0.5m,4,T4,20,0.74
Laminaria hyperborea,LH_29,1.5m,4,T4,20,0.65
Laminaria ochroleuca,LO_30,1.5m,4,T4,20,0.61
Laminaria hyperborea,LH_31,1.5m,4,T4,20,0.72
Laminaria ochroleuca,LO_32,1.5m,4,T4,20,0.57
Laminaria hyperborea,LH_33,3m,4,T4,20,0.65
Laminaria ochroleuca,LO_34,3m,4,T4,20,0.63
Laminaria hyperborea,LH_35,3m,4,T4,20,0.72
Laminaria ochroleuca,LO_36,3m,4,T4,20,0.68
Laminaria hyperborea,LH_1,0.5m,5,T5,26,0.74
Laminaria ochroleuca,LO_2,0.5m,5,T5,26,0.75
Laminaria hyperborea,LH_3,0.5m,5,T5,26,0.79
Laminaria ochroleuca,LO_4,0.5m,5,T5,26,0.77
Laminaria hyperborea,LH_5,1.5m,5,T5,26,0.75
Laminaria ochroleuca,LO_6,1.5m,5,T5,26,0.7
Laminaria hyperborea,LH_7,1.5m,5,T5,26,0.75
Laminaria ochroleuca,LO_8,1.5m,5,T5,26,0.75
Laminaria hyperborea,LH_9,3m,5,T5,26,0.73
Laminaria ochroleuca,LO_10,3m,5,T5,26,0.72
Laminaria hyperborea,LH_11,3m,5,T5,26,0.76
Laminaria ochroleuca,LO_12,3m,5,T5,26,0.37
Laminaria hyperborea,LH_13,0.5m,5,T5,26,0.76
Laminaria ochroleuca,LO_14,0.5m,5,T5,26,0.66
Laminaria hyperborea,LH_15,0.5m,5,T5,26,0.77
Laminaria ochroleuca,LO_16,0.5m,5,T5,26,0.74
Laminaria hyperborea,LH_17,1.5m,5,T5,26,0.71
Laminaria ochroleuca,LO_18,1.5m,5,T5,26,0.68
Laminaria hyperborea,LH_19,1.5m,5,T5,26,0.81
Laminaria ochroleuca,LO_20,1.5m,5,T5,26,0.73
Laminaria hyperborea,LH_21,3m,5,T5,26,0.74
Laminaria ochroleuca,LO_22,3m,5,T5,26,0.65
Laminaria hyperborea,LH_23,3m,5,T5,26,0.74
Laminaria ochroleuca,LO_24,3m,5,T5,26,0.73
Laminaria hyperborea,LH_25,0.5m,5,T5,26,0.76
Laminaria ochroleuca,LO_26,0.5m,5,T5,26,0.72
Laminaria hyperborea,LH_27,0.5m,5,T5,26,0.75
Laminaria ochroleuca,LO_28,0.5m,5,T5,26,0.7
Laminaria hyperborea,LH_29,1.5m,5,T5,26,0.67
Laminaria ochroleuca,LO_30,1.5m,5,T5,26,0.66
Laminaria hyperborea,LH_31,1.5m,5,T5,26,0.75
Laminaria ochroleuca,LO_32,1.5m,5,T5,26,0.65
Laminaria hyperborea,LH_33,3m,5,T5,26,0.68
Laminaria ochroleuca,LO_34,3m,5,T5,26,0.56
Laminaria hyperborea,LH_35,3m,5,T5,26,0.76
Laminaria ochroleuca,LO_36,3m,5,T5,26,0.51
Laminaria hyperborea,LH_1,0.5m,6,T6,33,0.7
Laminaria ochroleuca,LO_2,0.5m,6,T6,33,0.75
Laminaria hyperborea,LH_3,0.5m,6,T6,33,0.78
Laminaria ochroleuca,LO_4,0.5m,6,T6,33,0.72
Laminaria hyperborea,LH_5,1.5m,6,T6,33,0.77
Laminaria ochroleuca,LO_6,1.5m,6,T6,33,0.75
Laminaria hyperborea,LH_7,1.5m,6,T6,33,0.76
Laminaria ochroleuca,LO_8,1.5m,6,T6,33,0.68
Laminaria hyperborea,LH_9,3m,6,T6,33,0.69
Laminaria ochroleuca,LO_10,3m,6,T6,33,0.69
Laminaria hyperborea,LH_11,3m,6,T6,33,0.64
Laminaria ochroleuca,LO_12,3m,6,T6,33,0.67
Laminaria hyperborea,LH_13,0.5m,6,T6,33,0.77
Laminaria ochroleuca,LO_14,0.5m,6,T6,33,0.74
Laminaria hyperborea,LH_15,0.5m,6,T6,33,0.78
Laminaria ochroleuca,LO_16,0.5m,6,T6,33,0.7
Laminaria hyperborea,LH_17,1.5m,6,T6,33,0.8
Laminaria ochroleuca,LO_18,1.5m,6,T6,33,0.69
Laminaria hyperborea,LH_19,1.5m,6,T6,33,0.77
Laminaria ochroleuca,LO_20,1.5m,6,T6,33,0.72
Laminaria hyperborea,LH_21,3m,6,T6,33,0.78
Laminaria ochroleuca,LO_22,3m,6,T6,33,0.45
Laminaria hyperborea,LH_23,3m,6,T6,33,0.62
Laminaria ochroleuca,LO_24,3m,6,T6,33,0.52
Laminaria hyperborea,LH_25,0.5m,6,T6,33,0.76
Laminaria ochroleuca,LO_26,0.5m,6,T6,33,0.69
Laminaria hyperborea,LH_27,0.5m,6,T6,33,0.79
Laminaria ochroleuca,LO_28,0.5m,6,T6,33,0.73
Laminaria hyperborea,LH_29,1.5m,6,T6,33,0.76
Laminaria ochroleuca,LO_30,1.5m,6,T6,33,0.49
Laminaria hyperborea,LH_31,1.5m,6,T6,33,0.77
Laminaria ochroleuca,LO_32,1.5m,6,T6,33,0.41
Laminaria hyperborea,LH_33,3m,6,T6,33,0.65
Laminaria ochroleuca,LO_34,3m,6,T6,33,0.64
Laminaria hyperborea,LH_35,3m,6,T6,33,0.64
Laminaria ochroleuca,LO_36,3m,6,T6,33,0
Laminaria hyperborea,LH_1,0.5m,7,T7,40,0.7
Laminaria ochroleuca,LO_2,0.5m,7,T7,40,0.77
Laminaria hyperborea,LH_3,0.5m,7,T7,40,0.76
Laminaria ochroleuca,LO_4,0.5m,7,T7,40,0.52
Laminaria hyperborea,LH_5,1.5m,7,T7,40,0.77
Laminaria ochroleuca,LO_6,1.5m,7,T7,40,0.49
Laminaria hyperborea,LH_7,1.5m,7,T7,40,0.72
Laminaria ochroleuca,LO_8,1.5m,7,T7,40,0.6
Laminaria hyperborea,LH_9,3m,7,T7,40,0.73
Laminaria ochroleuca,LO_10,3m,7,T7,40,0.71
Laminaria hyperborea,LH_11,3m,7,T7,40,0.78
Laminaria ochroleuca,LO_12,3m,7,T7,40,0.68
Laminaria hyperborea,LH_13,0.5m,7,T7,40,0.76
Laminaria ochroleuca,LO_14,0.5m,7,T7,40,0.71
Laminaria hyperborea,LH_15,0.5m,7,T7,40,0.79
Laminaria ochroleuca,LO_16,0.5m,7,T7,40,0.69
Laminaria hyperborea,LH_17,1.5m,7,T7,40,0.77
Laminaria ochroleuca,LO_18,1.5m,7,T7,40,0.65
Laminaria hyperborea,LH_19,1.5m,7,T7,40,0.77
Laminaria ochroleuca,LO_20,1.5m,7,T7,40,0.73
Laminaria hyperborea,LH_21,3m,7,T7,40,0.76
Laminaria ochroleuca,LO_22,3m,7,T7,40,0.6
Laminaria hyperborea,LH_23,3m,7,T7,40,0.77
Laminaria ochroleuca,LO_24,3m,7,T7,40,0.48
Laminaria hyperborea,LH_25,0.5m,7,T7,40,0.77
Laminaria ochroleuca,LO_26,0.5m,7,T7,40,0.67
Laminaria hyperborea,LH_27,0.5m,7,T7,40,0.77
Laminaria ochroleuca,LO_28,0.5m,7,T7,40,0.26
Laminaria hyperborea,LH_29,1.5m,7,T7,40,0.75
Laminaria ochroleuca,LO_30,1.5m,7,T7,40,0.23
Laminaria hyperborea,LH_31,1.5m,7,T7,40,0.76
Laminaria ochroleuca,LO_32,1.5m,7,T7,40,0.74
Laminaria hyperborea,LH_33,3m,7,T7,40,0.75
Laminaria ochroleuca,LO_34,3m,7,T7,40,0.75
Laminaria hyperborea,LH_35,3m,7,T7,40,0.75
Laminaria ochroleuca,LO_36,3m,7,T7,40,0